dst,org,date,lei,lei50mi
1,1,2022-01-01,2767590.0,426050.0
1,2,2022-01-01,188.0,188.0
1,4,2022-01-01,1656.0,1656.0
1,5,2022-01-01,8083.0,8083.0
1,6,2022-01-01,3407.0,3407.0
1,8,2022-01-01,3985.0,3985.0
1,9,2022-01-01,516.0,516.0
1,10,2022-01-01,128.0,128.0
1,11,2022-01-01,76.0,76.0
1,12,2022-01-01,134961.0,71017.0
1,13,2022-01-01,159124.0,104844.0
1,15,2022-01-01,280.0,280.0
1,16,2022-01-01,212.0,212.0
1,17,2022-01-01,9000.0,8028.0
1,18,2022-01-01,10357.0,6885.0
1,19,2022-01-01,1936.0,1936.0
1,20,2022-01-01,1228.0,1228.0
1,21,2022-01-01,9041.0,6435.0
1,22,2022-01-01,35566.0,35566.0
1,23,2022-01-01,40.0,40.0
1,24,2022-01-01,1584.0,1584.0
1,25,2022-01-01,352.0,352.0
1,26,2022-01-01,3718.0,3610.0
1,27,2022-01-01,1487.0,1487.0
1,28,2022-01-01,167244.0,102962.0
1,29,2022-01-01,8490.0,8490.0
1,30,2022-01-01,476.0,476.0
1,31,2022-01-01,832.0,832.0
1,32,2022-01-01,4711.0,4711.0
1,33,2022-01-01,64.0,64.0
1,34,2022-01-01,1228.0,1228.0
1,35,2022-01-01,505.0,505.0
1,36,2022-01-01,2322.0,2322.0
1,37,2022-01-01,8894.0,8894.0
1,38,2022-01-01,100.0,100.0
1,39,2022-01-01,5501.0,5497.0
1,40,2022-01-01,3835.0,3835.0
1,41,2022-01-01,392.0,392.0
1,42,2022-01-01,2068.0,2068.0
1,44,2022-01-01,48.0,48.0
1,45,2022-01-01,6830.0,6830.0
1,46,2022-01-01,128.0,128.0
1,47,2022-01-01,122220.0,64187.0
1,48,2022-01-01,23467.0,23467.0
1,49,2022-01-01,756.0,756.0
1,50,2022-01-01,52.0,52.0
1,51,2022-01-01,3228.0,3228.0
1,53,2022-01-01,496.0,496.0
1,54,2022-01-01,712.0,712.0
1,55,2022-01-01,2441.0,2077.0
1,56,2022-01-01,760.0,760.0
2,1,2022-01-01,48.0,48.0
2,2,2022-01-01,4953.0,4953.0
2,4,2022-01-01,809.0,809.0
2,5,2022-01-01,24.0,24.0
2,6,2022-01-01,1409.0,1409.0
2,8,2022-01-01,310.0,310.0
2,9,2022-01-01,28.0,28.0
2,10,2022-01-01,0.0,0.0
2,11,2022-01-01,0.0,0.0
2,12,2022-01-01,937.0,937.0
2,13,2022-01-01,128.0,128.0
2,15,2022-01-01,1849.0,1849.0
2,16,2022-01-01,232.0,232.0
2,17,2022-01-01,266.0,266.0
2,18,2022-01-01,132.0,132.0
2,19,2022-01-01,16.0,16.0
2,20,2022-01-01,36.0,36.0
2,21,2022-01-01,16.0,16.0
2,22,2022-01-01,104.0,104.0
2,23,2022-01-01,0.0,0.0
2,24,2022-01-01,16.0,16.0
2,25,2022-01-01,32.0,32.0
2,26,2022-01-01,220.0,220.0
2,27,2022-01-01,32.0,32.0
2,28,2022-01-01,84.0,84.0
2,29,2022-01-01,188.0,188.0
2,30,2022-01-01,130.0,130.0
2,31,2022-01-01,76.0,76.0
2,32,2022-01-01,1725.0,1725.0
2,33,2022-01-01,8.0,8.0
2,34,2022-01-01,24.0,24.0
2,35,2022-01-01,88.0,88.0
2,36,2022-01-01,60.0,60.0
2,37,2022-01-01,84.0,84.0
