dst,org,distkm,border
1,1,0.0,0
1,2,5616.60889,0
1,4,2305.938667,0
1,5,570.105465,0
1,6,3009.723432,0
1,8,1821.348768,0
1,9,1587.200986,0
1,10,1239.312951,0
1,11,1119.649309,0
1,12,636.065058,1
1,13,322.014048,1
1,15,7052.020541,0
1,16,2723.147022,0
1,17,841.759238,0
1,18,796.119922,0
1,19,1190.027626,0
1,20,1222.49186,0
1,21,549.679317,0
1,22,511.040584,0
1,23,2056.317292,0
1,24,1146.420516,0
1,25,1709.100782,0
1,26,1345.635538,0
1,27,1631.58938,0
1,28,263.284417,1
1,29,803.65127,0
1,30,2497.245738,0
1,31,1505.351173,0
1,32,2767.894315,0
1,33,1800.342591,0
1,34,1362.272219,0
1,35,1795.396981,0
1,36,1499.16625,0
1,37,776.108613,0
1,38,1996.831609,0
1,39,927.012344,0
1,40,1030.42337,0
1,41,3174.447184,0
1,42,1209.014499,0
1,44,1673.974232,0
1,45,571.572656,0
1,46,1740.17521,0
1,47,348.372954,1
1,48,1182.337706,0
1,49,2344.027652,0
1,50,1759.763142,0
1,51,913.183629,0
1,53,3270.327897,0
1,54,862.782712,0
1,55,1341.776954,0
1,56,2138.632206,0
2,1,5616.60889,0
2,2,0.0,0
2,4,4282.452763,0
2,5,5136.38715,0
2,6,3667.201578,0
2,8,4115.072944,0
2,9,5510.184784,0
2,10,5610.727728,0
2,11,5541.130749,0
2,12,6244.068184,0
2,13,5799.677321,0
2,15,4696.704485,0
2,16,3198.209287,0
2,17,4825.360509,0
2,18,4986.718441,0
2,19,4431.32897,0
2,20,4510.020137,0
2,21,5250.992907,0
2,22,5543.51272,0
2,23,5350.459789,0
2,24,5554.131545,0
2,25,5517.737992,0
2,26,4583.820297,0
2,27,4030.073748,0
2,28,5480.543248,0
2,29,4816.858655,0
2,30,3199.079919,0
2,31,4164.590189,0
2,32,3576.656689,0
2,33,5378.646576,0
2,34,5548.933175,0
2,35,4520.774539,0
2,36,5250.513537,0
2,37,5744.15412,0
2,38,3620.322584,0
2,39,5120.745242,0
2,40,4822.012202,0
2,41,2967.438426,0
2,42,5320.041281,0
2,44,5567.570045,0
2,45,5811.802943,0
2,46,3887.362025,0
2,47,5352.112047,0
2,48,5127.709078,0
2,49,3799.715312,0
2,50,5290.829818,0
2,51,5584.976504,0
2,53,2649.717241,0
2,54,5385.123386,0
2,55,4399.19262,0
2,56,3654.553893,0
4,1,2305.938667,0
4,2,4282.452763,0
4,4,0.0,0
4,5,1761.792204,0
4,6,779.81983,1
4,8,756.664175,1
4,9,3485.242481,0
4,10,3258.517363,0
4,11,3123.238127,0
4,12,2839.781509,0
4,13,2623.869945,0
4,15,4747.997218,0
4,16,1146.394435,0
4,17,2093.83876,0
4,18,2331.745923,0
4,19,1806.309046,0
4,20,1278.662334,0
4,21,2398.640201,0
4,22,1898.650316,0
4,23,3786.19784,0
4,24,3152.355791,0
4,25,3588.968704,0
4,26,2506.961192,0
4,27,1989.199456,0
4,28,2048.515695,0
4,29,1779.105107,0
4,30,1427.786054,0
4,31,1316.124479,0
4,32,714.661601,1
4,33,3588.212046,0
4,34,3323.584337,0
4,35,510.560477,1
4,36,3256.892585,0
4,37,2962.78002,0
4,38,1736.478688,0
4,39,2640.325151,0
4,40,1301.311037,0
4,41,1320.729766,0
4,42,3055.863344,0
4,44,3586.524715,0
4,45,2832.461797,0
4,46,1495.078612,0
4,47,2308.868323,0
4,48,1199.517438,0
4,49,557.993049,1
4,50,3503.543804,0
4,51,2984.13168,0
4,53,1639.020805,0
4,54,2810.091751,0
4,55,2200.354049,0
4,56,1031.177299,0
5,1,570.105465,0
5,2,5136.38715,0
5,4,1761.792204,0
5,5,0.0,0
5,6,2445.79892,0
5,8,1251.489063,0
5,9,1872.041798,0
5,10,1577.579421,0
5,11,1442.953354,0
5,12,1184.772,0
5,13,872.75212,0
5,15,6508.764512,0
5,16,2163.931316,0
5,17,646.77558,0
5,18,778.218487,0
5,19,802.163241,0
5,20,663.728939,0
5,21,705.454067,0
5,22,446.593912,1
5,23,2279.1083,0
5,24,1472.480644,0
5,25,1989.617533,0
5,26,1245.147704,0
5,27,1276.302328,0
5,28,354.847053,1
5,29,384.141798,1
5,30,1970.210779,0
5,31,978.007025,0
5,32,2198.443639,0
5,33,2039.141411,0
5,34,1671.865599,0
5,35,1253.411749,0
5,36,1706.557052,0
5,37,1213.264754,0
5,38,1545.965136,0
5,39,1053.030771,0
5,40,466.115741,1
5,41,2608.937595,0
5,42,1444.55962,0
5,44,1969.926011,0
5,45,1070.698664,0
5,46,1251.441311,0
5,47,563.751031,1
5,48,744.323209,1
5,49,1774.065305,0
5,50,1975.323809,0
5,51,1270.458881,0
5,53,2719.206511,0
5,54,1133.027233,0
5,55,1105.108917,0
5,56,1584.789726,0
6,1,3009.723432,0
6,2,3667.201578,0
6,4,779.81983,1
6,5,2445.79892,0
6,6,0.0,0
6,8,1242.184512,0
6,9,4012.437744,0
6,10,3834.789054,0
6,11,3703.43445,0
6,12,3577.043902,0
6,13,3318.538192,0
6,15,4102.871184,0
6,16,899.428842,0
6,17,2652.303367,0
6,18,2897.624497,0
6,19,2291.340755,0
6,20,1863.742968,0
6,21,3015.964539,0
6,22,2642.508075,0
6,23,4243.409698,0
6,24,3731.324527,0
6,25,4104.425708,0
6,26,2949.574108,0
6,27,2325.950333,0
6,28,2761.942639,0
6,29,2380.563523,0
6,30,1367.283057,0
6,31,1764.600216,0
6,32,349.898311,1
6,33,4075.944992,0
6,34,3879.260068,0
6,35,1249.238572,0
6,36,3760.205804,0
6,37,3603.265563,0
6,38,1934.811726,0
6,39,3195.626608,0
6,40,1980.391484,0
6,41,758.488946,1
6,42,3599.674932,0
6,44,4112.107146,0
6,45,3502.317136,0
6,46,1812.482117,0
6,47,2960.470365,0
6,48,1963.819875,0
6,49,727.818321,0
6,50,3984.034142,0
6,51,3591.303294,0
6,53,1142.547147,0
6,54,3399.97165,0
6,55,2628.850438,0
6,56,1208.019609,0
8,1,1821.348768,0
8,2,4115.072944,0
8,4,756.664175,1
8,5,1251.489063,0
8,6,1242.184512,0
8,8,0.0,0
8,9,2787.70911,0
8,10,2595.272159,0
8,11,2463.075072,0
8,12,2427.918058,0
8,13,2114.713416,0
8,15,5344.873064,0
8,16,959.938659,0
8,17,1412.761196,0
8,18,1657.682556,0
8,19,1075.591736,0
8,20,625.599826,1
8,21,1775.555109,0
8,22,1540.925748,0
8,23,3056.235433,0
8,24,2491.192936,0
8,25,2884.969457,0
8,26,1766.192893,0
8,27,1233.167329,0
8,28,1593.594628,0
8,29,1140.268566,0
8,30,953.598388,0
8,31,564.518172,1
8,32,958.088351,0
8,33,2870.139937,0
8,34,2644.470627,0
8,35,511.507041,1
8,36,2545.168945,0
8,37,2365.852884,0
8,38,1024.916494,0
8,39,1958.869795,0
8,40,807.645045,1
8,41,1370.052048,0
8,42,2367.582039,0
8,44,2888.34355,0
8,45,2277.713355,0
8,46,749.090706,0
8,47,1731.098609,0
8,48,1013.498649,0
8,49,530.271343,1
8,50,2781.912272,0
8,51,2349.163359,0
8,53,1534.771722,0
8,54,2158.171714,0
8,55,1453.529978,0
8,56,474.713819,1
9,1,1587.200986,0
9,2,5510.184784,0
9,4,3485.242481,0
9,5,1872.041798,0
9,6,4012.437744,0
9,8,2787.70911,0
9,9,0.0,0
9,10,367.895208,0
9,11,469.329899,0
9,12,1707.652496,0
9,13,1371.281713,0
9,15,8097.384677,0
9,16,3393.422796,0
9,17,1391.612687,0
9,18,1157.987693,0
9,19,1721.097225,0
9,20,2206.592819,0
9,21,1167.724471,0
9,22,2074.80019,0
9,23,498.990045,0
9,24,444.361993,0
9,25,121.912916,1
9,26,1109.950847,0
9,27,1794.963059,0
9,28,1791.948834,0
9,29,1718.151321,0
9,30,2976.836802,0
9,31,2247.854339,0
9,32,3691.466503,0
9,33,251.952178,0
9,34,229.889518,0
9,35,3016.842525,0
9,36,278.795696,1
9,37,870.608358,0
9,38,2285.34787,0
9,39,848.979424,0
9,40,2247.905108,0
9,41,3872.482951,0
9,42,433.825639,0
9,44,101.299296,1
9,45,1113.51364,0
9,46,2252.752725,0
9,47,1340.835077,0
9,48,2616.364216,0
9,49,3284.637103,0
9,50,277.101371,0
9,51,680.342792,0
9,53,3799.628502,0
9,54,746.590674,0
9,55,1419.734429,0
9,56,2855.083459,0
10,1,1239.312951,0
10,2,5610.727728,0
10,4,3258.517363,0
10,5,1577.579421,0
10,6,3834.789054,0
10,8,2595.272159,0
10,9,367.895208,0
10,10,0.0,0
10,11,136.008845,0
10,12,1341.810489,0
10,13,1007.500003,0
10,15,7936.192772,0
10,16,3283.068967,0
10,17,1182.665761,0
10,18,937.589671,0
10,19,1563.458627,0
10,20,1988.762497,0
10,21,876.66946,0
10,22,1737.911208,0
10,23,865.723485,0
10,24,106.515966,1
10,25,485.501489,0
10,26,1065.969727,0
10,27,1732.886523,0
10,28,1458.447666,0
10,29,1479.49219,0
10,30,2899.888472,0
10,31,2082.91799,0
10,32,3527.955221,0
10,33,612.647667,0
10,34,140.9778,1
10,35,2773.065791,0
10,36,435.901055,0
10,37,503.131297,0
10,38,2225.832128,0
10,39,642.407034,0
10,40,1985.506507,0
10,41,3764.758826,0
