stat,data_x,data_y,statistic,pvalue
distkkm,Random,Mobility data,81.75558498106939,0.00019998000199980003
distkkm,Random,Mobility data (alternative),129.76581117638113,0.00019998000199980003
distkkm,Random,Gemini 2.5 Flash Lite,-81.46234332174531,0.00019998000199980003
distkkm,Random,GPT-4.1 Nano,60.10955935959631,0.00019998000199980003
distkkm,Mobility data,Mobility data (alternative),9.870609514945057,0.00019998000199980003
distkkm,Mobility data,Gemini 2.5 Flash Lite,-119.47893485163246,0.00019998000199980003
distkkm,Mobility data,GPT-4.1 Nano,-14.447761766595258,0.00019998000199980003
distkkm,Mobility data (alternative),Gemini 2.5 Flash Lite,-152.70739507852093,0.00019998000199980003
distkkm,Mobility data (alternative),GPT-4.1 Nano,-26.368529300339425,0.00019998000199980003
distkkm,Gemini 2.5 Flash Lite,GPT-4.1 Nano,102.23819934442088,0.00019998000199980003
border,Random,Mobility data,-328.8500393080623,0.00019998000199980003
border,Random,Mobility data (alternative),-322.6820753673427,0.00019998000199980003
border,Random,Gemini 2.5 Flash Lite,-354.19162444058685,0.00019998000199980003
border,Random,GPT-4.1 Nano,-207.56378840551938,0.00019998000199980003
border,Mobility data,Mobility data (alternative),55.97369974750735,0.00019998000199980003
border,Mobility data,Gemini 2.5 Flash Lite,-42.95517244211468,0.00019998000199980003
border,Mobility data,GPT-4.1 Nano,65.33670133133943,0.00019998000199980003
border,Mobility data (alternative),Gemini 2.5 Flash Lite,-100.18622474196482,0.00019998000199980003
border,Mobility data (alternative),GPT-4.1 Nano,24.733249280179276,0.00019998000199980003
border,Gemini 2.5 Flash Lite,GPT-4.1 Nano,100.4145502735713,0.00019998000199980003
self,Random,Mobility data,-524.6240892850842,0.00019998000199980003
self,Random,Mobility data (alternative),-441.133690028608,0.00019998000199980003
self,Random,Gemini 2.5 Flash Lite,-477.87984522738543,0.00019998000199980003
self,Random,GPT-4.1 Nano,-554.2948124022154,0.00019998000199980003
self,Mobility data,Mobility data (alternative),174.92232953568438,0.00019998000199980003
self,Mobility data,Gemini 2.5 Flash Lite,-9.06645171539664,0.00019998000199980003
self,Mobility data,GPT-4.1 Nano,-77.61305478313047,0.00019998000199980003
self,Mobility data (alternative),Gemini 2.5 Flash Lite,-152.648289563294,0.00019998000199980003
self,Mobility data (alternative),GPT-4.1 Nano,-240.25773206135702,0.00019998000199980003
self,Gemini 2.5 Flash Lite,GPT-4.1 Nano,-59.516752818898546,0.00019998000199980003
intercept,Random,Mobility data,257.12726551136024,0.00019998000199980003
intercept,Random,Mobility data (alternative),165.83020409963157,0.00019998000199980003
intercept,Random,Gemini 2.5 Flash Lite,285.1307058853358,0.00019998000199980003
intercept,Random,GPT-4.1 Nano,291.82843013926157,0.00019998000199980003
intercept,Mobility data,Mobility data (alternative),-122.95333369046529,0.00019998000199980003
intercept,Mobility data,Gemini 2.5 Flash Lite,41.250331500241174,0.00019998000199980003
intercept,Mobility data,GPT-4.1 Nano,59.014511358107015,0.00019998000199980003
intercept,Mobility data (alternative),Gemini 2.5 Flash Lite,160.9978997318453,0.00019998000199980003
intercept,Mobility data (alternative),GPT-4.1 Nano,174.95675228518033,0.00019998000199980003
intercept,Gemini 2.5 Flash Lite,GPT-4.1 Nano,18.420438420642157,0.00019998000199980003
r2_p,Random,Mobility data,-3263.3942711541504,0.00019998000199980003
r2_p,Random,Mobility data (alternative),-1410.7165130108938,0.00019998000199980003
r2_p,Random,Gemini 2.5 Flash Lite,-592.6515062225945,0.00019998000199980003
r2_p,Random,GPT-4.1 Nano,-4029.1581379320332,0.00019998000199980003
r2_p,Mobility data,Mobility data (alternative),318.34311955726,0.00019998000199980003
r2_p,Mobility data,Gemini 2.5 Flash Lite,88.02191982540499,0.00019998000199980003
r2_p,Mobility data,GPT-4.1 Nano,-180.98980463212982,0.00019998000199980003
r2_p,Mobility data (alternative),Gemini 2.5 Flash Lite,-45.751741349648746,0.00019998000199980003
r2_p,Mobility data (alternative),GPT-4.1 Nano,-444.46795334094503,0.00019998000199980003
r2_p,Gemini 2.5 Flash Lite,GPT-4.1 Nano,-137.18155489520746,0.00019998000199980003
